Pro  Inside global         Inside local          Outside local         Outside global
tcp  192.168.40.236:4603   192.168.53.2:59045    104.16.80.230:443     104.16.80.230:443
tcp  192.168.40.236:4691   192.168.52.2:64828    44.198.23.94:443      44.198.23.94:443
tcp  192.168.40.236:4614   192.168.51.2:52875    104.16.80.230:443     104.16.80.230:443
tcp  192.168.40.236:4613   192.168.51.2:52868    104.16.80.230:443     104.16.80.230:443
tcp  192.168.40.236:4619   192.168.52.2:64709    20.25.227.174:443     20.25.227.174:443
tcp  192.168.40.236:4675   192.168.52.2:64776    52.73.235.185:443     52.73.235.185:443
tcp  192.168.40.236:4604   192.168.51.2:56532    184.28.50.162:443     184.28.50.162:443
tcp  192.168.40.236:4696   192.168.52.2:64842    34.199.53.216:443     34.199.53.216:443
tcp  192.168.40.236:4605   192.168.51.2:56534    35.186.224.39:443     35.186.224.39:443
tcp  192.168.40.236:4608   192.168.53.2:53519    104.17.143.163:443    104.17.143.163:443
tcp  192.168.40.236:4580   192.168.51.2:52838    104.16.80.230:443     104.16.80.230:443
